# source: papers/2026-06-charge-measure-coupling/charge-measure-coupling-whitepaper-v4.tex; generated by: code/2026-06-charge-measure-coupling/consolidation_ledger.py
entry,object,degree,charge_group,all_charges_attained,mahler_value,mahler_closed_form,reciprocal,admissible,note,paper_ref
A,x^3-2,3,Z/3,yes,2.0,2,no,yes,"realizes Z/n, all charges",Thm 3.2
A,x^4-2,4,Z/4,yes,2.0,2,no,yes,"realizes Z/n, all charges",Thm 3.2
A,x^5-2,5,Z/5,yes,2.0,2,no,yes,"realizes Z/n, all charges",Thm 3.2
A,x^6-2,6,Z/6,yes,2.0,2,no,yes,"realizes Z/n, all charges",Thm 3.2
A,x^7-2,7,Z/7,yes,2.0,2,no,yes,"realizes Z/n, all charges",Thm 3.2
B,x^4-2,4,Z/4,yes,2.0,2,no,yes,"cyclic Z/4 (charge 1 occurs), not Z/2 x Z/2",ledger B
C,x^6-2,6,Z/6,yes,2.0,2,no,yes,"Z/6; psi^3 residual Z/2, psi^2 residual Z/3",Thm 3.4
D,(x^3-2) (x) (x^4-2),12,Z/12,yes,128.0,128 = 2^7,,yes,"charpoly x^12-128, charge Z/lcm(3,4)=Z/12",Thm 3.5 / ledger D
E,x^4+x^2-1 (q_2),4,Z/4,yes,1.6180339887498948482,phi,no,yes,"even floor: charge Z/2k, all charges, M=phi",Thm 4.1
E,x^6+x^3-1 (q_3),6,Z/6,yes,1.6180339887498948482,phi,no,yes,"even floor: charge Z/2k, all charges, M=phi",Thm 4.1
E,x^8+x^4-1 (q_4),8,Z/8,yes,1.6180339887498948482,phi,no,yes,"even floor: charge Z/2k, all charges, M=phi",Thm 4.1
E,x^10+x^5-1 (q_5),10,Z/10,yes,1.6180339887498948482,phi,no,yes,"even floor: charge Z/2k, all charges, M=phi",Thm 4.1
F,x^4-x^3-x^2-x+1 (beta_4),4,none,,1.722083805739042245,beta_4 (Salem),yes,no,minimal deg-4 Salem; charge-inadmissible,ledger F / Lem 8.1
G,(x-1)(x-2) = x^2-3x+2,2,Z/1,yes,2.0,2,no,yes,totally positive; least M>1 is 2; next value phi^2,ledger G / Thm 4.6
I,x^4-x^3+6x^2+4x+1,4,Z/5,no,6.8541019662496845446,phi^4,no,yes,"pentagon minimiser; irreducible, non-reciprocal",Thm 6.5 / ledger I
K,Phi_5*(x^2-3x+1),6,Z/5,yes,2.6180339887498948482,phi^2,yes,yes,"reciprocal Z/5 witness, M=phi^2",ledger K
K,Phi_5*(x^2-4x+1),6,Z/5,yes,3.7320508075688772935,2+sqrt3,yes,yes,"reciprocal Z/5 witness, M=2+sqrt3 (erratum window)",ledger K / Thm 6.4 window
K,x^5-2,5,Z/5,yes,2.0,2,no,yes,non-reciprocal Z/5; M=2=mu(5),Thm 6.7 / ledger K
L,L(x)(x-1) = x^11-x^9-x^8+x^3+x^2-1,11,none,,1.1762808182599175065,tau (Lehmer),yes,no,"trace 0 (commutator); M=tau in (1,phi); charge bottom",Prop 8.2 / ledger L
M,(x^2-x-1) (x) (x^2-x-1),4,Z/2,yes,2.6180339887498948482,phi^2,,yes,"charpoly [1, -1, -4, -1, 1]; M=phi^2 tropical (NOT phi^4)",Prop 3.3 / ledger M
