# source: papers/2026-06-charge-measure-coupling/charge-measure-coupling-whitepaper-v4.tex; generated by: code/2026-06-charge-measure-coupling/charge_group_structure.py
m,k,gcd,lcm,tensor_charge_group,generated_order,full_lattice,kernel_order,lossless_safe,coprime
1,1,1,1,Z/1,1,yes,1,yes,yes
1,2,1,2,Z/2,2,yes,1,yes,yes
1,3,1,3,Z/3,3,yes,1,yes,yes
1,4,1,4,Z/4,4,yes,1,yes,yes
1,5,1,5,Z/5,5,yes,1,yes,yes
1,6,1,6,Z/6,6,yes,1,yes,yes
1,7,1,7,Z/7,7,yes,1,yes,yes
1,8,1,8,Z/8,8,yes,1,yes,yes
1,9,1,9,Z/9,9,yes,1,yes,yes
1,10,1,10,Z/10,10,yes,1,yes,yes
1,11,1,11,Z/11,11,yes,1,yes,yes
1,12,1,12,Z/12,12,yes,1,yes,yes
2,1,1,2,Z/2,2,yes,1,yes,yes
2,2,2,2,Z/2,2,yes,2,no,no
2,3,1,6,Z/6,6,yes,1,yes,yes
2,4,2,4,Z/4,4,yes,2,no,no
2,5,1,10,Z/10,10,yes,1,yes,yes
2,6,2,6,Z/6,6,yes,2,no,no
2,7,1,14,Z/14,14,yes,1,yes,yes
2,8,2,8,Z/8,8,yes,2,no,no
2,9,1,18,Z/18,18,yes,1,yes,yes
2,10,2,10,Z/10,10,yes,2,no,no
2,11,1,22,Z/22,22,yes,1,yes,yes
2,12,2,12,Z/12,12,yes,2,no,no
3,1,1,3,Z/3,3,yes,1,yes,yes
3,2,1,6,Z/6,6,yes,1,yes,yes
3,3,3,3,Z/3,3,yes,3,no,no
3,4,1,12,Z/12,12,yes,1,yes,yes
3,5,1,15,Z/15,15,yes,1,yes,yes
3,6,3,6,Z/6,6,yes,3,no,no
3,7,1,21,Z/21,21,yes,1,yes,yes
3,8,1,24,Z/24,24,yes,1,yes,yes
3,9,3,9,Z/9,9,yes,3,no,no
3,10,1,30,Z/30,30,yes,1,yes,yes
3,11,1,33,Z/33,33,yes,1,yes,yes
3,12,3,12,Z/12,12,yes,3,no,no
4,1,1,4,Z/4,4,yes,1,yes,yes
4,2,2,4,Z/4,4,yes,2,no,no
4,3,1,12,Z/12,12,yes,1,yes,yes
4,4,4,4,Z/4,4,yes,4,no,no
4,5,1,20,Z/20,20,yes,1,yes,yes
4,6,2,12,Z/12,12,yes,2,no,no
4,7,1,28,Z/28,28,yes,1,yes,yes
4,8,4,8,Z/8,8,yes,4,no,no
