# source: papers/2026-06-charge-measure-coupling/charge-measure-coupling-whitepaper-v4.tex; generated by: code/2026-06-charge-measure-coupling/parity_floor.py
n,parity,lattice_contains_pi,mu_n_closed_form,mu_n_value,witness,witness_charge_group,all_charges_attained,golden_seed_hostable
2,even,yes,phi,1.6180339887498948482,q_1 = x^2+x^1-1,Z/2,yes,yes
3,odd,no,2,2.0,x^3-2,Z/3,yes,no
4,even,yes,phi,1.6180339887498948482,q_2 = x^4+x^2-1,Z/4,yes,yes
5,odd,no,2,2.0,x^5-2,Z/5,yes,no
6,even,yes,phi,1.6180339887498948482,q_3 = x^6+x^3-1,Z/6,yes,yes
7,odd,no,2,2.0,x^7-2,Z/7,yes,no
8,even,yes,phi,1.6180339887498948482,q_4 = x^8+x^4-1,Z/8,yes,yes
9,odd,no,2,2.0,x^9-2,Z/9,yes,no
10,even,yes,phi,1.6180339887498948482,q_5 = x^10+x^5-1,Z/10,yes,yes
11,odd,no,2,2.0,x^11-2,Z/11,yes,no
12,even,yes,phi,1.6180339887498948482,q_6 = x^12+x^6-1,Z/12,yes,yes
