# source: papers/2026-06-generative-emptiness/generative_emptiness.tex; generated by: code/2026-06-generative-emptiness/object3_gap.py
# monic integer quadratics x^2+b*x+c, |b|,|c|<=6, distinct Mahler measures > 1, sorted ascending
rank,b,c,poly,mahler_measure,closed_form
1,-1,-1,x^2+-1x+-1,1.618033988749894848204587,phi = (1+sqrt5)/2
2,-2,2,x^2+-2x+2,2.0,2
3,-2,-1,x^2+-2x+-1,2.414213562373095048801689,1+sqrt2
4,-3,1,x^2+-3x+1,2.618033988749894848204587,phi^2 = (3+sqrt5)/2
5,-2,-2,x^2+-2x+-2,2.732050807568877293527446,1+sqrt3
6,-2,3,x^2+-2x+3,3.0,3
7,-3,-1,x^2+-3x+-1,3.302775637731994646559611,(3+sqrt13)/2
8,-4,2,x^2+-4x+2,3.414213562373095048801689,2+sqrt2
9,-3,-2,x^2+-3x+-2,3.561552812808830274910705,
10,-4,1,x^2+-4x+1,3.732050807568877293527446,2+sqrt3
11,-3,-3,x^2+-3x+-3,3.791287847477920003294024,
12,-5,4,x^2+-5x+4,4.0,
13,-4,-1,x^2+-4x+-1,4.236067977499789696409174,
14,-5,3,x^2+-5x+3,4.302775637731994646559611,
15,-4,-2,x^2+-4x+-2,4.449489742783178098197284,
16,-5,2,x^2+-5x+2,4.561552812808830274910705,
17,-4,-3,x^2+-4x+-3,4.645751311064590590501616,
18,-5,1,x^2+-5x+1,4.791287847477920003294024,(5+sqrt21)/2
19,-4,-4,x^2+-4x+-4,4.828427124746190097603377,
20,-6,5,x^2+-6x+5,5.0,
21,-5,-1,x^2+-5x+-1,5.192582403567252015625355,
22,-6,4,x^2+-6x+4,5.236067977499789696409174,3+sqrt5
23,-5,-2,x^2+-5x+-2,5.372281323269014329925306,
24,-6,3,x^2+-6x+3,5.449489742783178098197284,
25,-5,-3,x^2+-5x+-3,5.541381265149109844499842,
26,-6,2,x^2+-6x+2,5.645751311064590590501616,
27,-5,-4,x^2+-5x+-4,5.701562118716424343244109,
28,-6,1,x^2+-6x+1,5.828427124746190097603377,
29,-5,-5,x^2+-5x+-5,5.854101966249684544613761,
30,-6,0,x^2+-6x+0,6.0,
31,-6,-1,x^2+-6x+-1,6.162277660168379331998894,
32,-6,-2,x^2+-6x+-2,6.316624790355399849114933,
33,-6,-3,x^2+-6x+-3,6.464101615137754587054893,
34,-6,-4,x^2+-6x+-4,6.605551275463989293119221,
35,-6,-5,x^2+-6x+-5,6.741657386773941385583749,
36,-6,-6,x^2+-6x+-6,6.872983346207416885179265,
