# source: papers/2026-06-generative-emptiness/generative_emptiness.tex; generated by: code/2026-06-generative-emptiness/object5_current.py
# two-generation orbit from seeds {phi, K}; conservation + clean radial growth (Prop 6.1, 6.2)
poly,mahler_measure,mahler_rounded,on_Z4_lattice,avoids_forbidden_band,n_on_circle_roots,on_circle_roots_of_unity
x**2 - x - 1,1.6180339887498948482,1.618,True,True,0,True
x**2 - 3*x + 1,2.6180339887498948482,2.618,True,True,0,True
x**4 - x**3 - 4*x**2 - x + 1,2.6180339887498948482,2.618,True,True,2,True
x**4 - 2*x**3 - x**2 + 2*x + 1,2.6180339887498948482,2.618,True,True,0,True
x**4 + 5*x**2 - 5,5.8541019662496845446,5.8541,True,True,0,True
x**2 - 7*x + 1,6.8541019662496845446,6.8541,True,True,0,True
x**4 - 3*x**3 - 6*x**2 + 3*x + 1,6.8541019662496845446,6.8541,True,True,0,True
x**4 - 9*x**3 + 16*x**2 - 9*x + 1,6.8541019662496845446,6.8541,True,True,2,True
x**4 - 6*x**3 + 11*x**2 - 6*x + 1,6.8541019662496845446,6.8541,True,True,0,True
x**8 - 2*x**7 - 7*x**6 + 6*x**5 + 20*x**4 + 6*x**3 - 7*x**2 - 2*x + 1,6.8541019662496845446,6.8541,True,True,4,True
x**6 - x**5 + 4*x**4 - 5*x**3 - 10*x**2 + 5*x + 5,9.4721359549995793928,9.4721,True,True,0,True
x**8 - x**7 - 13*x**6 - 8*x**5 + 20*x**4 + 8*x**3 - 13*x**2 + x + 1,17.944271909999158786,17.9443,True,True,0,True
x**4 + 10*x**3 + 15*x**2 - 50*x + 25,34.270509831248422723,34.2705,True,True,0,True
x**8 + 10*x**6 + 15*x**4 - 50*x**2 + 25,34.270509831248422723,34.2705,True,True,0,True
x**8 + 15*x**6 - 10*x**4 - 75*x**2 + 25,76.631189606246319687,76.6312,True,True,0,True
x**6 + 7*x**5 - 14*x**4 - 85*x**3 + 190*x**2 - 125*x + 25,89.721359549995793928,89.7214,True,True,0,True
x**12 - x**11 + 11*x**10 - 16*x**9 - 69*x**8 - 5*x**7 - 20*x**6 + 85*x**5 + 315*x**4 + 50*x**3 - 175*x**2 - 25*x + 25,200.62305898749053634,200.6231,True,True,2,True
x**4 - 70*x**3 + 1275*x**2 - 1750*x + 625,1174.4678440936947953,1174.4678,True,True,0,True
x**8 + 20*x**7 + 130*x**6 + 200*x**5 - 725*x**4 - 1000*x**3 + 3250*x**2 - 2500*x + 625,1174.4678440936947953,1174.4678,True,True,0,True
x**8 + 10*x**7 - 55*x**6 - 350*x**5 + 1900*x**4 - 1750*x**3 - 1375*x**2 + 1250*x + 625,2243.0339887498948482,2243.034,True,True,0,True
x**8 + 30*x**7 + 205*x**6 - 450*x**5 - 2100*x**4 + 2250*x**3 + 5125*x**2 - 3750*x + 625,5872.3392204684739765,5872.3392,True,True,0,True
x**16 + 30*x**14 + 205*x**12 - 450*x**10 - 2100*x**8 + 2250*x**6 + 5125*x**4 - 3750*x**2 + 625,5872.3392204684739765,5872.3392,True,True,0,True
x**16 + 45*x**14 + 155*x**12 - 1800*x**10 - 6600*x**8 + 9000*x**6 + 3875*x**4 - 5625*x**2 + 625,8049.9223594996214535,8049.9224,True,True,0,True
x**16 - 50*x**14 + 25*x**12 + 13750*x**10 + 122500*x**8 + 343750*x**6 + 15625*x**4 - 781250*x**2 + 390625,734042.40255855924707,734042.4026,True,True,0,True
x**16 - 100*x**15 + 2550*x**14 + 25000*x**13 - 1129375*x**12 - 10875000*x**11 + 160843750*x**10 + 3382812500*x**9 + 24539062500*x**8 + 84570312500*x**7 + 100527343750*x**6 - 169921875000*x**5 - 441162109375*x**4 + 244140625000*x**3 + 622558593750*x**2 - 610351562500*x + 152587890625,538818248753.94194706,538818248753.942,True,True,0,True
x**32 - 150*x**30 + 2675*x**28 + 243750*x**26 + 945625*x**24 - 66937500*x**22 - 592281250*x**20 + 4453125000*x**18 + 61550781250*x**16 + 111328125000*x**14 - 370175781250*x**12 - 1045898437500*x**10 + 369384765625*x**8 + 2380371093750*x**6 + 653076171875*x**4 - 915527343750*x**2 + 152587890625,1965313076049.7122689,1965313076049.7122,True,True,0,True
