# source: papers/2026-06-lambda-2c/lambda_2c_paper.tex; generated by: code/2026-06-lambda-2c/keystone.py
n,F_n,F_{n-1},L_n=tr(R^n),det(R^n),charpoly,disc=5F_n^2,closure_ok,pell_ok
1,1,0,1,-1,x^2-x-1,5,True,True
2,1,1,3,1,x^2-3x+1,5,True,True
3,2,1,4,-1,x^2-4x-1,20,True,True
4,3,2,7,1,x^2-7x+1,45,True,True
5,5,3,11,-1,x^2-11x-1,125,True,True
6,8,5,18,1,x^2-18x+1,320,True,True
7,13,8,29,-1,x^2-29x-1,845,True,True
8,21,13,47,1,x^2-47x+1,2205,True,True
9,34,21,76,-1,x^2-76x-1,5780,True,True
10,55,34,123,1,x^2-123x+1,15125,True,True
