# source: papers/2026-06-lehmers-box/lehmers_box.tex; generated by: code/2026-06-lehmers-box/floor_wall.py
b,c,discriminant,mahler_measure,in_open_strip_1_phi,is_minimiser_above_1
-12,-12,192,12.9282032302755092,False,False
-12,-11,188,12.8556546004010441,False,False
-12,-10,184,12.7823299831252681,False,False
-12,-9,180,12.7082039324993691,False,False
-12,-8,176,12.6332495807107997,False,False
-12,-7,172,12.5574385243020007,False,False
-12,-6,168,12.4807406984078602,False,False
-12,-5,164,12.4031242374328487,False,False
-12,-4,160,12.3245553203367587,False,False
-12,-3,156,12.2449979983983982,False,False
-12,-2,152,12.1644140029689765,False,False
-12,-1,148,12.0827625302982197,False,False
-12,0,144,12.0,False,False
-12,1,140,11.916079783099616,False,False
-12,2,136,11.8309518948453005,False,False
-12,3,132,11.7445626465380287,False,False
-12,4,128,11.6568542494923802,False,False
-12,5,124,11.5677643628300219,False,False
-12,6,120,11.4772255750516611,False,False
-12,7,116,11.385164807134504,False,False
-12,8,112,11.2915026221291812,False,False
-12,9,108,11.1961524227066319,False,False
-12,10,104,11.0990195135927848,False,False
-12,11,100,11.0,False,False
-12,12,96,12.0,False,False
-11,-12,169,12.0,False,False
-11,-11,165,11.9226162893325645,False,False
-11,-10,161,11.8442887702247602,False,False
-11,-9,157,11.7649820430708339,False,False
-11,-8,153,11.6846584384264908,False,False
-11,-7,149,11.6032778078668515,False,False
-11,-6,145,11.5207972893961477,False,False
-11,-5,141,11.4371710435189586,False,False
-11,-4,137,11.3523499553598126,False,False
-11,-3,133,11.2662812973353979,False,False
-11,-2,129,11.1789083458002736,False,False
-11,-1,125,11.0901699437494742,False,False
-11,0,121,11.0,False,False
-11,1,117,10.9083269131959839,False,False
-11,2,113,10.8150729063673247,False,False
-11,3,109,10.7201532544552751,False,False
-11,4,105,10.6234753829797992,False,False
-11,5,101,10.5249378105604451,False,False
-11,6,97,10.4244289008980524,False,False
-11,7,93,10.3218253804964775,False,False
