# source: papers/2026-06-lehmers-box/lehmers_box.tex; generated by: code/2026-06-lehmers-box/mahler_measure.py
check,polynomial,lhs,rhs,abs_diff,agree
def2.1_forms_agree,x**2 - x - 1,1.6180339887498948482,1.6180339887498948482,5.836e-42,True
def2.1_forms_agree,x**3 - x - 1,1.324717957244746026,1.324717957244746026,3.547e-43,True
def2.1_forms_agree,x**2 - 2,2.0,2.0,0.0,True
def2.1_forms_agree,x**2 - 5,5.0,5.0,9.184e-41,True
def2.1_forms_agree,x**2 - 7*x + 1,6.8541019662496845446,6.8541019662496845446,1.751e-41,True
lem2.3ii_multiplicative,(x**2 - x - 1)*(x**2 - 2),3.2360679774997896964,3.2360679774997896964,1.953e-51,True
lem2.3ii_multiplicative,(x**2 - 7*x + 1)*(x**4 - x**3 - x**2 - x + 1),11.803337998962709245,11.803337998962709245,7.729e-51,True
lem2.3ii_multiplicative,(x**3 - x - 1)*(x**2 + x - 1),2.1434386803293290759,2.1434386803293290759,8.547e-52,True
lem2.3iii_squaring,x**2 - x - 1 -> p^[2],2.6180339887498948482,2.6180339887498948482,9.767e-52,True
lem2.3iii_squaring,x**2 - 2 -> p^[2],4.0,4.0,0.0,True
lem2.3iii_squaring,x**4 - x**3 - x**2 - x + 1 -> p^[2],2.9655726339886633883,2.9655726339886633883,9.761e-52,True
lem2.3iii_squaring,x**3 - x - 1 -> p^[2],1.75487766624669276,1.75487766624669276,2.534e-52,True
lem2.4_kronecker_cyclotomic,Phi_1,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_2,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_3,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_4,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_5,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_6,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_7,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_8,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_9,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_10,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_11,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_12,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_13,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_14,1.0,1,0.0,True
lem2.4_kronecker_cyclotomic,Phi_15,1.0,1,0.0,True
lem2.4_kronecker_noncyclotomic,x^2 - x - 1,1.6180339887498948482,>1,0.618034,True
