# source: papers/2026-06-operator-algebra/operator-algebra-whitepaper.tex; generated by: code/2026-06-operator-algebra/charge_character.py
A,B,charge_A,charge_B,charge_A_tensor_B,sumset_mod4,sumset_ok,charge_A_oplus_B,union_ok
golden,golden,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
golden,x^2-2,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
golden,x^2-3,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
golden,x^2-5,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
golden,K,0^1; 2^1,0^1; 1^1; 2^1; 3^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
x^2-2,golden,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-2,x^2-2,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-2,x^2-3,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-2,x^2-5,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-2,K,0^1; 2^1,0^1; 1^1; 2^1; 3^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
x^2-3,golden,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-3,x^2-2,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-3,x^2-3,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-3,x^2-5,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-3,K,0^1; 2^1,0^1; 1^1; 2^1; 3^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
x^2-5,golden,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-5,x^2-2,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-5,x^2-3,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-5,x^2-5,0^1; 2^1,0^1; 2^1,0^2; 2^2,0^2; 2^2,True,0^2; 2^2,True
x^2-5,K,0^1; 2^1,0^1; 1^1; 2^1; 3^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
K,golden,0^1; 1^1; 2^1; 3^1,0^1; 2^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
K,x^2-2,0^1; 1^1; 2^1; 3^1,0^1; 2^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
K,x^2-3,0^1; 1^1; 2^1; 3^1,0^1; 2^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
K,x^2-5,0^1; 1^1; 2^1; 3^1,0^1; 2^1,0^2; 1^2; 2^2; 3^2,0^2; 1^2; 2^2; 3^2,True,0^2; 1^1; 2^2; 3^1,True
K,K,0^1; 1^1; 2^1; 3^1,0^1; 1^1; 2^1; 3^1,0^4; 1^4; 2^4; 3^4,0^4; 1^4; 2^4; 3^4,True,0^2; 1^2; 2^2; 3^2,True
