# source: papers/2026-06-operator-algebra/operator-algebra-whitepaper.tex; generated by: code/2026-06-operator-algebra/mahler_character.py
A,B,M_A,M_B,M_oplus,M_A_times_M_B,additive_ok,M_otimes_exact,M_otimes_decimal,tensor_is_multiplicative,logM_otimes,tropical_convolution,tropical_ok
golden,golden,1/2 + sqrt(5)/2,1/2 + sqrt(5)/2,sqrt(5)/2 + 3/2,sqrt(5)/2 + 3/2,True,sqrt(5)/2 + 3/2,2.61803398874989484820459,True,0.962423650119206894995518,0.962423650119206894995518,True
golden,x^2-2,1/2 + sqrt(5)/2,2,1 + sqrt(5),1 + sqrt(5),True,sqrt(5) + 3,5.23606797749978969640917,False,1.65557083067915220441275,1.65557083067915220441275,True
golden,x^2-3,1/2 + sqrt(5)/2,3,3/2 + 3*sqrt(5)/2,3/2 + 3*sqrt(5)/2,True,9,9.00000000000000000000000,False,2.19722457733621938279049,2.19722457733621938279049,True
golden,x^2-5,1/2 + sqrt(5)/2,5,5/2 + 5*sqrt(5)/2,5/2 + 5*sqrt(5)/2,True,25,25.0000000000000000000000,False,3.21887582486820074920152,3.21887582486820074920152,True
golden,K,1/2 + sqrt(5)/2,5/2 + 3*sqrt(5)/2,2*sqrt(5) + 5,2*sqrt(5) + 5,True,75/2 + 35*sqrt(5)/2,76.6311896062463196871605,False,4.33900416888956435189217,4.33900416888956435189217,True
x^2-2,golden,2,1/2 + sqrt(5)/2,1 + sqrt(5),1 + sqrt(5),True,sqrt(5) + 3,5.23606797749978969640917,False,1.65557083067915220441275,1.65557083067915220441275,True
x^2-2,x^2-2,2,2,4,4,True,16,16.0000000000000000000000,False,2.77258872223978123766893,2.77258872223978123766893,True
x^2-2,x^2-3,2,3,6,6,True,36,36.0000000000000000000000,False,3.58351893845611000162495,3.58351893845611000162495,True
x^2-2,x^2-5,2,5,10,10,True,100,100.000000000000000000000,False,4.60517018598809136803598,4.60517018598809136803598,True
x^2-2,K,2,5/2 + 3*sqrt(5)/2,5 + 3*sqrt(5),5 + 3*sqrt(5),True,400,400.000000000000000000000,False,5.99146454710798198687045,5.99146454710798198687045,True
x^2-3,golden,3,1/2 + sqrt(5)/2,3/2 + 3*sqrt(5)/2,3/2 + 3*sqrt(5)/2,True,9,9.00000000000000000000000,False,2.19722457733621938279049,2.19722457733621938279049,True
x^2-3,x^2-2,3,2,6,6,True,36,36.0000000000000000000000,False,3.58351893845611000162495,3.58351893845611000162495,True
x^2-3,x^2-3,3,3,9,9,True,81,81.0000000000000000000000,False,4.39444915467243876558098,4.39444915467243876558098,True
x^2-3,x^2-5,3,5,15,15,True,225,225.000000000000000000000,False,5.41610040220442013199201,5.41610040220442013199201,True
x^2-3,K,3,5/2 + 3*sqrt(5)/2,15/2 + 9*sqrt(5)/2,15/2 + 9*sqrt(5)/2,True,2025,2025.00000000000000000000,False,7.6133249795406395147825,7.6133249795406395147825,True
x^2-5,golden,5,1/2 + sqrt(5)/2,5/2 + 5*sqrt(5)/2,5/2 + 5*sqrt(5)/2,True,25,25.0000000000000000000000,False,3.21887582486820074920152,3.21887582486820074920152,True
x^2-5,x^2-2,5,2,10,10,True,100,100.000000000000000000000,False,4.60517018598809136803598,4.60517018598809136803598,True
x^2-5,x^2-3,5,3,15,15,True,225,225.000000000000000000000,False,5.41610040220442013199201,5.41610040220442013199201,True
x^2-5,x^2-5,5,5,25,25,True,625,625.000000000000000000000,False,6.43775164973640149840304,6.43775164973640149840304,True
x^2-5,K,5,5/2 + 3*sqrt(5)/2,25/2 + 15*sqrt(5)/2,25/2 + 15*sqrt(5)/2,True,15625,15625.0000000000000000000,False,9.65662747460460224760456,9.65662747460460224760456,True
K,golden,5/2 + 3*sqrt(5)/2,1/2 + sqrt(5)/2,2*sqrt(5) + 5,2*sqrt(5) + 5,True,75/2 + 35*sqrt(5)/2,76.6311896062463196871605,False,4.33900416888956435189217,4.33900416888956435189217,True
K,x^2-2,5/2 + 3*sqrt(5)/2,2,5 + 3*sqrt(5),5 + 3*sqrt(5),True,400,400.000000000000000000000,False,5.99146454710798198687045,5.99146454710798198687045,True
K,x^2-3,5/2 + 3*sqrt(5)/2,3,15/2 + 9*sqrt(5)/2,15/2 + 9*sqrt(5)/2,True,2025,2025.00000000000000000000,False,7.6133249795406395147825,7.6133249795406395147825,True
K,x^2-5,5/2 + 3*sqrt(5)/2,5,25/2 + 15*sqrt(5)/2,25/2 + 15*sqrt(5)/2,True,15625,15625.0000000000000000000,False,9.65662747460460224760456,9.65662747460460224760456,True
K,K,5/2 + 3*sqrt(5)/2,5/2 + 3*sqrt(5)/2,15*sqrt(5)/2 + 35/2,15*sqrt(5)/2 + 35/2,True,328125*sqrt(5)/2 + 734375/2,734042.402558559247067130,False,13.5063220750814298275866,13.5063220750814298275866,True
