# source: papers/2026-06-operator-algebra/operator-algebra-whitepaper.tex; generated by: code/2026-06-operator-algebra/semiring_laws.py
law_id,law,statement,holds_over_generic_symbols,concrete_instance
OA-SR-01,oplus commutative,A (+) B = B (+) A,True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-02,oplus associative,(A (+) B) (+) C = A (+) (B (+) C),True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-03,otimes commutative,A (x) B = B (x) A,True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-04,otimes associative,(A (x) B) (x) C = A (x) (B (x) C),True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-05,left distributivity,A (x) (B (+) C) = (A(x)B) (+) (A(x)C),True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-06,right distributivity,(B (+) C) (x) A = (B(x)A) (+) (C(x)A),True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-07a,0 additive identity,A (+) 0 = A,True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-07b,0 multiplicative annihilator,A (x) 0 = 0,True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-08,1={1} multiplicative identity,A (x) 1 = A,True,deg(golden(+)x^2-2)=4=2+2; deg(golden(x)x^2-2)=4=2*2
OA-SR-DEG,degree bookkeeping,deg(golden(+)golden) = deg+deg ; deg(golden(x)golden) = deg*deg,True,|golden(+)golden|=4; |golden(x)golden|=4
OA-SR-DEG,degree bookkeeping,deg(golden(+)K) = deg+deg ; deg(golden(x)K) = deg*deg,True,|golden(+)K|=6; |golden(x)K|=8
OA-SR-DEG,degree bookkeeping,deg(x^2-2(+)golden) = deg+deg ; deg(x^2-2(x)golden) = deg*deg,True,|x^2-2(+)golden|=4; |x^2-2(x)golden|=4
OA-SR-DEG,degree bookkeeping,deg(x^2-2(+)K) = deg+deg ; deg(x^2-2(x)K) = deg*deg,True,|x^2-2(+)K|=6; |x^2-2(x)K|=8
