# source: papers/2026-06-z5-no-salem-dichotomy/Z5-no-salem-dichotomy-whitepaper.tex; generated by: code/2026-06-z5-no-salem-dichotomy/purepower.py
m,polynomial,charge_group,mahler,mahler_closed_form,reciprocal,in_open_1_2
1,x^5 - 1,5,1.0,1,True,False
2,x^5 - 2,5,2.0,2,False,False
3,x^5 - 3,5,3.0,3,False,False
4,x^5 - 4,5,4.0,4,False,False
5,x^5 - 5,5,5.0,5,False,False
6,x^5 - 6,5,6.0,6,False,False
7,x^5 - 7,5,7.0,7,False,False
8,x^5 - 8,5,8.0,8,False,False
9,x^5 - 9,5,9.0,9,False,False
10,x^5 - 10,5,10.0,10,False,False
11,x^5 - 11,5,11.0,11,False,False
12,x^5 - 12,5,12.0,12,False,False
