# source: papers/2026-06-z5-no-salem-dichotomy/Z5-no-salem-dichotomy-whitepaper.tex; generated by: code/2026-06-z5-no-salem-dichotomy/enumerate_window.py
degree,coeffs,poly,reciprocal,mahler_str,measure_closed_form,factorization,window_bound
4,1 1 1 1 1,x**4 + x**3 + x**2 + x + 1,True,1.0,1,Phi_5,10
4,1 -1 6 4 1,x**4 - x**3 + 6*x**2 + 4*x + 1,False,6.854101966249684544613760503096914353161,phi^4,(x**4 - x**3 + 6*x**2 + 4*x + 1),10
4,1 4 6 -1 1,x**4 + 4*x**3 + 6*x**2 - x + 1,False,6.854101966249684544613760503096914353161,phi^4,(x**4 + 4*x**3 + 6*x**2 - x + 1),10
5,1 0 0 0 0 -1,x**5 - 1,True,1.0,1,(x - 1)*Phi_5,4
5,1 -1 -1 -1 -1 -2,x**5 - x**4 - x**3 - x**2 - x - 2,False,2.0,2,(x - 2)*Phi_5,4
5,1 0 0 0 0 -2,x**5 - 2,False,2.0,2,(x**5 - 2),4
5,1 -2 -2 -2 -2 -3,x**5 - 2*x**4 - 2*x**3 - 2*x**2 - 2*x - 3,False,3.0,3,(x - 3)*Phi_5,4
5,1 0 0 0 0 -3,x**5 - 3,False,3.0,3,(x**5 - 3),4
5,1 -3 -3 -3 -3 -4,x**5 - 3*x**4 - 3*x**3 - 3*x**2 - 3*x - 4,False,4.0,4,(x - 4)*Phi_5,4
5,1 0 0 0 0 -4,x**5 - 4,False,4.0,4,(x**5 - 4),4
6,1 -2 0 0 0 -1 2,x**6 - 2*x**5 - x + 2,False,2.0,2,(x - 2)*(x - 1)*Phi_5,3
6,1 -1 0 0 0 -2 2,x**6 - x**5 - 2*x + 2,False,2.0,2,(x - 1)*(x**5 - 2),3
6,1 -2 -1 -1 -1 -2 1,x**6 - 2*x**5 - x**4 - x**3 - x**2 - 2*x + 1,True,2.61803398874989484820458683436563811772,phi^2,(x**2 - 3*x + 1)*Phi_5,3
6,1 -3 0 0 0 -1 3,x**6 - 3*x**5 - x + 3,False,3.0,3,(x - 3)*(x - 1)*Phi_5,3
6,1 -1 0 0 0 -3 3,x**6 - x**5 - 3*x + 3,False,3.0,3,(x - 1)*(x**5 - 3),3
6,1 -3 -1 -1 -1 -2 2,x**6 - 3*x**5 - x**4 - x**3 - x**2 - 2*x + 2,False,3.41421356237309504880168872420969807857,numeric,(x**2 - 4*x + 2)*Phi_5,3
6,1 -3 -2 -2 -2 -3 1,x**6 - 3*x**5 - 2*x**4 - 2*x**3 - 2*x**2 - 3*x + 1,True,3.732050807568877293527446341505872366943,2+sqrt3,(x**2 - 4*x + 1)*Phi_5,3
