# source: papers/2026-07-emission-algebra-primer/emission_algebra_primer.tex; generated by: code/2026-07-emission-algebra-primer/d3_sl2_reps.py
a,b,summands_V_j,dim_(a+1)(b+1),sum_(j+1),dim_identity_holds
0,0,V0,1,1,True
0,1,V1,2,2,True
0,2,V2,3,3,True
0,3,V3,4,4,True
0,4,V4,5,5,True
0,5,V5,6,6,True
1,0,V1,2,2,True
1,1,V0+V2,4,4,True
1,2,V1+V3,6,6,True
1,3,V2+V4,8,8,True
1,4,V3+V5,10,10,True
1,5,V4+V6,12,12,True
2,0,V2,3,3,True
2,1,V1+V3,6,6,True
2,2,V0+V2+V4,9,9,True
2,3,V1+V3+V5,12,12,True
2,4,V2+V4+V6,15,15,True
2,5,V3+V5+V7,18,18,True
3,0,V3,4,4,True
3,1,V2+V4,8,8,True
3,2,V1+V3+V5,12,12,True
3,3,V0+V2+V4+V6,16,16,True
3,4,V1+V3+V5+V7,20,20,True
3,5,V2+V4+V6+V8,24,24,True
4,0,V4,5,5,True
4,1,V3+V5,10,10,True
4,2,V2+V4+V6,15,15,True
4,3,V1+V3+V5+V7,20,20,True
4,4,V0+V2+V4+V6+V8,25,25,True
4,5,V1+V3+V5+V7+V9,30,30,True
5,0,V5,6,6,True
5,1,V4+V6,12,12,True
5,2,V3+V5+V7,18,18,True
5,3,V2+V4+V6+V8,24,24,True
5,4,V1+V3+V5+V7+V9,30,30,True
5,5,V0+V2+V4+V6+V8+V10,36,36,True
