# source: papers/2026-07-emission-algebra-primer/emission_algebra_primer.tex; generated by: code/2026-07-emission-algebra-primer/d6b_psi_casimir_map.py
n,m,half_trace_Vm_X_n^2,"5_F_n^2_binom(m+2,3)",(5F_n^2/3)dim_Cas,"binom(m+2,3)",forms_agree
-4,0,0,0,0,0,True
-4,1,45,45,45,1,True
-4,2,180,180,180,4,True
-4,3,450,450,450,10,True
-4,4,900,900,900,20,True
-4,5,1575,1575,1575,35,True
-4,6,2520,2520,2520,56,True
-3,0,0,0,0,0,True
-3,1,20,20,20,1,True
-3,2,80,80,80,4,True
-3,3,200,200,200,10,True
-3,4,400,400,400,20,True
-3,5,700,700,700,35,True
-3,6,1120,1120,1120,56,True
-2,0,0,0,0,0,True
-2,1,5,5,5,1,True
-2,2,20,20,20,4,True
-2,3,50,50,50,10,True
-2,4,100,100,100,20,True
-2,5,175,175,175,35,True
-2,6,280,280,280,56,True
-1,0,0,0,0,0,True
-1,1,5,5,5,1,True
-1,2,20,20,20,4,True
-1,3,50,50,50,10,True
-1,4,100,100,100,20,True
-1,5,175,175,175,35,True
-1,6,280,280,280,56,True
0,0,0,0,0,0,True
0,1,0,0,0,1,True
0,2,0,0,0,4,True
0,3,0,0,0,10,True
0,4,0,0,0,20,True
0,5,0,0,0,35,True
0,6,0,0,0,56,True
1,0,0,0,0,0,True
1,1,5,5,5,1,True
1,2,20,20,20,4,True
1,3,50,50,50,10,True
1,4,100,100,100,20,True
1,5,175,175,175,35,True
1,6,280,280,280,56,True
2,0,0,0,0,0,True
2,1,5,5,5,1,True
2,2,20,20,20,4,True
2,3,50,50,50,10,True
2,4,100,100,100,20,True
2,5,175,175,175,35,True
2,6,280,280,280,56,True
3,0,0,0,0,0,True
3,1,20,20,20,1,True
3,2,80,80,80,4,True
3,3,200,200,200,10,True
3,4,400,400,400,20,True
3,5,700,700,700,35,True
3,6,1120,1120,1120,56,True
4,0,0,0,0,0,True
4,1,45,45,45,1,True
4,2,180,180,180,4,True
4,3,450,450,450,10,True
4,4,900,900,900,20,True
4,5,1575,1575,1575,35,True
4,6,2520,2520,2520,56,True
