# source: papers/2026-07-emission-algebra-primer/emission_algebra_primer.tex; generated by: code/2026-07-emission-algebra-primer/d1_keystone_powerlaw.py
n,F_n,F_{n-1},F_{n+1},R^n_00,R^n_01,R^n_10,R^n_11,trace_Ln,L_n,det_(-1)^n,cassini,verified_matrix_power
-16,-987,1597,610,1597,-987,-987,610,2207,2207,1,1,True
-15,610,-987,-377,-987,610,610,-377,-1364,-1364,-1,-1,True
-14,-377,610,233,610,-377,-377,233,843,843,1,1,True
-13,233,-377,-144,-377,233,233,-144,-521,-521,-1,-1,True
-12,-144,233,89,233,-144,-144,89,322,322,1,1,True
-11,89,-144,-55,-144,89,89,-55,-199,-199,-1,-1,True
-10,-55,89,34,89,-55,-55,34,123,123,1,1,True
-9,34,-55,-21,-55,34,34,-21,-76,-76,-1,-1,True
-8,-21,34,13,34,-21,-21,13,47,47,1,1,True
-7,13,-21,-8,-21,13,13,-8,-29,-29,-1,-1,True
-6,-8,13,5,13,-8,-8,5,18,18,1,1,True
-5,5,-8,-3,-8,5,5,-3,-11,-11,-1,-1,True
-4,-3,5,2,5,-3,-3,2,7,7,1,1,True
-3,2,-3,-1,-3,2,2,-1,-4,-4,-1,-1,True
-2,-1,2,1,2,-1,-1,1,3,3,1,1,True
-1,1,-1,0,-1,1,1,0,-1,-1,-1,-1,True
0,0,1,1,1,0,0,1,2,2,1,1,True
1,1,0,1,0,1,1,1,1,1,-1,-1,True
2,1,1,2,1,1,1,2,3,3,1,1,True
3,2,1,3,1,2,2,3,4,4,-1,-1,True
4,3,2,5,2,3,3,5,7,7,1,1,True
5,5,3,8,3,5,5,8,11,11,-1,-1,True
6,8,5,13,5,8,8,13,18,18,1,1,True
7,13,8,21,8,13,13,21,29,29,-1,-1,True
8,21,13,34,13,21,21,34,47,47,1,1,True
9,34,21,55,21,34,34,55,76,76,-1,-1,True
10,55,34,89,34,55,55,89,123,123,1,1,True
11,89,55,144,55,89,89,144,199,199,-1,-1,True
12,144,89,233,89,144,144,233,322,322,1,1,True
13,233,144,377,144,233,233,377,521,521,-1,-1,True
14,377,233,610,233,377,377,610,843,843,1,1,True
15,610,377,987,377,610,610,987,1364,1364,-1,-1,True
16,987,610,1597,610,987,987,1597,2207,2207,1,1,True
