# source: papers/2026-07-emission-algebra-primer/emission_algebra_primer.tex; generated by: code/2026-07-emission-algebra-primer/d4_transition.py
basis,X,Y,"[X,Y]"
"rational {H,S,J}",H,H,0
"rational {H,S,J}",H,S,(10)*J
"rational {H,S,J}",H,J,(2)*S
"rational {H,S,J}",S,H,(-10)*J
"rational {H,S,J}",S,S,0
"rational {H,S,J}",S,J,(-2)*H
"rational {H,S,J}",J,H,(-2)*S
"rational {H,S,J}",J,S,(2)*H
"rational {H,S,J}",J,J,0
"split {H,N+,N-}",H,H,0
"split {H,N+,N-}",H,N+,(2*sqrt(5))*N+
"split {H,N+,N-}",H,N-,(-2*sqrt(5))*N-
"split {H,N+,N-}",N+,H,(-2*sqrt(5))*N+
"split {H,N+,N-}",N+,N+,0
"split {H,N+,N-}",N+,N-,(sqrt(5))*H
"split {H,N+,N-}",N-,H,(2*sqrt(5))*N-
"split {H,N+,N-}",N-,N+,(-sqrt(5))*H
"split {H,N+,N-}",N-,N-,0
"trace-form <X,Y>=Tr(XY)",H,H,10
"trace-form <X,Y>=Tr(XY)",H,S,0
"trace-form <X,Y>=Tr(XY)",H,J,0
"trace-form <X,Y>=Tr(XY)",S,H,0
"trace-form <X,Y>=Tr(XY)",S,S,10
"trace-form <X,Y>=Tr(XY)",S,J,0
"trace-form <X,Y>=Tr(XY)",J,H,0
"trace-form <X,Y>=Tr(XY)",J,S,0
"trace-form <X,Y>=Tr(XY)",J,J,-2
