# source: papers/2026-07-emission-algebra-primer/emission_algebra_primer.tex; generated by: code/2026-07-emission-algebra-primer/d3_sl2_reps.py
n,k,eigenvalue_phi^(n-k)psi^k,H_eigenvalue,H_over_sqrt5_weight,weight_check
0,0,1,0,0,True
1,0,1/2 + sqrt(5)/2,sqrt(5),1,True
1,1,1/2 - sqrt(5)/2,-sqrt(5),-1,True
2,0,sqrt(5)/2 + 3/2,2*sqrt(5),2,True
2,1,-1,0,0,True
2,2,3/2 - sqrt(5)/2,-2*sqrt(5),-2,True
3,0,2 + sqrt(5),3*sqrt(5),3,True
3,1,-sqrt(5)/2 - 1/2,sqrt(5),1,True
3,2,-1/2 + sqrt(5)/2,-sqrt(5),-1,True
3,3,2 - sqrt(5),-3*sqrt(5),-3,True
4,0,3*sqrt(5)/2 + 7/2,4*sqrt(5),4,True
4,1,-3/2 - sqrt(5)/2,2*sqrt(5),2,True
4,2,1,0,0,True
4,3,-3/2 + sqrt(5)/2,-2*sqrt(5),-2,True
4,4,7/2 - 3*sqrt(5)/2,-4*sqrt(5),-4,True
5,0,11/2 + 5*sqrt(5)/2,5*sqrt(5),5,True
5,1,-sqrt(5) - 2,3*sqrt(5),3,True
5,2,1/2 + sqrt(5)/2,sqrt(5),1,True
5,3,1/2 - sqrt(5)/2,-sqrt(5),-1,True
5,4,-2 + sqrt(5),-3*sqrt(5),-3,True
5,5,11/2 - 5*sqrt(5)/2,-5*sqrt(5),-5,True
