# source: papers/2026-07-emission-algebra-primer/emission_algebra_primer.tex; generated by: code/2026-07-emission-algebra-primer/d6_traceform_duality.py
n,F_n,L_n,X_n_eq_F_n_H,half_trace_X_n^2,5_F_n^2,L_n^2-4(-1)^n,(phi^n-psi^n)^2,all_four_equal
-8,-21,47,True,2205,2205,2205,2205,True
-7,13,-29,True,845,845,845,845,True
-6,-8,18,True,320,320,320,320,True
-5,5,-11,True,125,125,125,125,True
-4,-3,7,True,45,45,45,45,True
-3,2,-4,True,20,20,20,20,True
-2,-1,3,True,5,5,5,5,True
-1,1,-1,True,5,5,5,5,True
0,0,2,True,0,0,0,0,True
1,1,1,True,5,5,5,5,True
2,1,3,True,5,5,5,5,True
3,2,4,True,20,20,20,20,True
4,3,7,True,45,45,45,45,True
5,5,11,True,125,125,125,125,True
6,8,18,True,320,320,320,320,True
7,13,29,True,845,845,845,845,True
8,21,47,True,2205,2205,2205,2205,True
