# source: papers/2026-07-pisot-residue/pisot_residue_whitepaper.tex; generated by: code/2026-07-pisot-residue/quartic_sweep.py
coeffs_hi_to_lo,poly,theta_display,kind,n_real_inside,n_nonreal_pairs
[1 -1 0 0 -1],x^4 - x^3 - 1,1.380278,complex_pair,1,1
[1 -2 0 1 -1],x^4 - 2x^3 + x - 1,1.866760,complex_pair,1,1
[1 -1 -2 0 1],x^4 - x^3 - 2x^2 + 1,1.905166,complex_pair,1,1
[1 -1 -1 -1 -1],x^4 - x^3 - x^2 - x - 1,1.927562,complex_pair,1,1
[1 -1 -1 -2 -1],x^4 - x^3 - x^2 - 2x - 1,2.065995,complex_pair,1,1
[1 -2 0 0 -1],x^4 - 2x^3 - 1,2.106919,complex_pair,1,1
[1 -2 0 -1 1],x^4 - 2x^3 - x + 1,2.117689,complex_pair,1,1
[1 -3 2 0 -1],x^4 - 3x^3 + 2x^2 - 1,2.178724,complex_pair,1,1
[1 -2 0 -1 -1],x^4 - 2x^3 - x - 1,2.277452,complex_pair,1,1
[1 -1 -2 -2 -1],x^4 - x^3 - 2x^2 - 2x - 1,2.316512,complex_pair,1,1
[1 -2 -1 0 1],x^4 - 2x^3 - x^2 + 1,2.348594,complex_pair,1,1
[1 -3 1 2 -2],x^4 - 3x^3 + x^2 + 2x - 2,2.373133,complex_pair,1,1
[1 -3 2 -2 1],x^4 - 3x^3 + 2x^2 - 2x + 1,2.448678,complex_pair,1,1
[1 -2 -1 0 -1],x^4 - 2x^3 - x^2 - 1,2.470979,complex_pair,1,1
[1 -2 -1 -1 1],x^4 - 2x^3 - x^2 - x + 1,2.496698,complex_pair,1,1
[1 -3 1 1 -1],x^4 - 3x^3 + x^2 + x - 1,2.505068,complex_pair,1,1
[1 -2 -2 1 1],x^4 - 2x^3 - 2x^2 + x + 1,2.568115,complex_pair,1,1
[1 -3 1 1 -2],x^4 - 3x^3 + x^2 + x - 2,2.578423,complex_pair,1,1
[1 -2 -1 -1 -1],x^4 - 2x^3 - x^2 - x - 1,2.592053,complex_pair,1,1
[1 -1 -3 -3 -1],x^4 - x^3 - 3x^2 - 3x - 1,2.629658,complex_pair,1,1
[1 -2 -1 -1 -2],x^4 - 2x^3 - x^2 - x - 2,2.633439,complex_pair,1,1
[1 -2 -2 0 2],x^4 - 2x^3 - 2x^2 + 2,2.647632,complex_pair,1,1
[1 -3 1 0 -1],x^4 - 3x^3 + x^2 - 1,2.678712,complex_pair,1,1
[1 -2 -2 0 1],x^4 - 2x^3 - 2x^2 + 1,2.691740,complex_pair,1,1
[1 -2 -1 -2 -1],x^4 - 2x^3 - x^2 - 2x - 1,2.696797,complex_pair,1,1
[1 -3 1 -1 1],x^4 - 3x^3 + x^2 - x + 1,2.717608,complex_pair,1,1
[1 -3 0 2 -1],x^4 - 3x^3 + 2x - 1,2.788973,complex_pair,1,1
[1 -2 -2 -1 1],x^4 - 2x^3 - 2x^2 - x + 1,2.797136,complex_pair,1,1
[1 -3 1 -2 2],x^4 - 3x^3 + x^2 - 2x + 2,2.807158,complex_pair,1,1
[1 -3 1 -1 -1],x^4 - 3x^3 + x^2 - x - 1,2.815776,complex_pair,1,1
[1 -2 -3 1 2],x^4 - 2x^3 - 3x^2 + x + 2,2.844229,complex_pair,1,1
[1 -3 1 -2 1],x^4 - 3x^3 + x^2 - 2x + 1,2.852145,complex_pair,1,1
[1 -2 -2 -1 -1],x^4 - 2x^3 - 2x^2 - x - 1,2.863131,complex_pair,1,1
[1 -3 0 1 -1],x^4 - 3x^3 + x - 1,2.923000,complex_pair,1,1
[1 -3 1 -2 -1],x^4 - 3x^3 + x^2 - 2x - 1,2.931316,complex_pair,1,1
[1 -2 -3 0 2],x^4 - 2x^3 - 3x^2 + 2,2.941347,complex_pair,1,1
[1 -2 -2 -2 -1],x^4 - 2x^3 - 2x^2 - 2x - 1,2.947712,complex_pair,1,1
[1 -3 0 0 1],x^4 - 3x^3 + 1,2.961500,complex_pair,1,1
[1 -3 0 1 -2],x^4 - 3x^3 + x - 2,2.962980,complex_pair,1,1
