# source: papers/2026-07-pisot-residue/pisot_residue_whitepaper.tex; generated by: code/2026-07-pisot-residue/quintic_census.py
order,poly,coeffs_hi_to_lo,theta_display,n_real_inside,n_nonreal_pairs,pattern
1,x^5 - 2x^4 - 2x^3 - 2x^2 - 2x - 2,[1 -2 -2 -2 -2 -2],2.991654,0,2,two-pair
2,x^5 - 2x^4 - 2x^3 - 2x^2 - 2x - 1,[1 -2 -2 -2 -2 -1],2.983140,0,2,two-pair
3,x^5 - 2x^4 - 2x^3 - 2x^2 - x - 2,[1 -2 -2 -2 -1 -2],2.965879,0,2,two-pair
4,x^5 - 2x^4 - 2x^3 - 2x^2 - x - 1,[1 -2 -2 -2 -1 -1],2.956895,0,2,two-pair
5,x^5 - 2x^4 - 2x^3 - 2x^2 - x + 1,[1 -2 -2 -2 -1 1],2.938316,2,1,mixed
6,x^5 - 2x^4 - 2x^3 - 2x^2 - 1,[1 -2 -2 -2 0 -1],2.929383,0,2,two-pair
7,x^5 - 2x^4 - 2x^3 - 2x^2 + 1,[1 -2 -2 -2 0 1],2.909652,2,1,mixed
8,x^5 - 2x^4 - 2x^3 - x^2 - 2x - 2,[1 -2 -2 -1 -2 -2],2.913078,0,2,two-pair
9,x^5 - 2x^4 - 2x^3 - x^2 - 2x - 1,[1 -2 -2 -1 -2 -1],2.903305,0,2,two-pair
10,x^5 - 2x^4 - 2x^3 - x^2 - x - 2,[1 -2 -2 -1 -1 -2],2.884219,0,2,two-pair
11,x^5 - 2x^4 - 2x^3 - x^2 - x - 1,[1 -2 -2 -1 -1 -1],2.873816,0,2,two-pair
12,x^5 - 2x^4 - 2x^3 - x^2 - 1,[1 -2 -2 -1 0 -1],2.842640,0,2,two-pair
13,x^5 - 2x^4 - 2x^3 - x^2 + 1,[1 -2 -2 -1 0 1],2.819359,2,1,mixed
14,x^5 - 2x^4 - 2x^3 - x^2 + x + 1,[1 -2 -2 -1 1 1],2.784330,2,1,mixed
15,x^5 - 2x^4 - 2x^3 - x^2 + x + 2,[1 -2 -2 -1 1 2],2.771059,2,1,mixed
16,x^5 - 2x^4 - 2x^3 - x^2 + 2x + 1,[1 -2 -2 -1 2 1],2.746628,2,1,mixed
17,x^5 - 2x^4 - 2x^3 - 2x - 2,[1 -2 -2 0 -2 -2],2.827215,0,2,two-pair
18,x^5 - 2x^4 - 2x^3 - x - 2,[1 -2 -2 0 -1 -2],2.794360,0,2,two-pair
19,x^5 - 2x^4 - 2x^3 - x - 1,[1 -2 -2 0 -1 -1],2.782034,0,2,two-pair
20,x^5 - 2x^4 - 2x^3 - 1,[1 -2 -2 0 0 -1],2.745938,0,2,two-pair
21,x^5 - 2x^4 - 2x^3 + x - 1,[1 -2 -2 0 1 -1],2.707029,0,2,two-pair
22,x^5 - 2x^4 - 2x^3 + x + 1,[1 -2 -2 0 1 1],2.675747,2,1,mixed
23,x^5 - 2x^4 - 2x^3 + x^2 - x - 2,[1 -2 -2 1 -1 -2],2.693782,0,2,two-pair
24,x^5 - 2x^4 - 2x^3 + x^2 - 2,[1 -2 -2 1 0 -2],2.652320,0,2,two-pair
25,x^5 - 2x^4 - 2x^3 + x^2 - 1,[1 -2 -2 1 0 -1],2.635604,0,2,two-pair
26,x^5 - 2x^4 - 2x^3 + x^2 + x - 1,[1 -2 -2 1 1 -1],2.588082,0,2,two-pair
27,x^5 - 2x^4 - 2x^3 + 2x^2 - 2,[1 -2 -2 2 0 -2],2.527263,0,2,two-pair
28,x^5 - 2x^4 - 2x^3 + 2x^2 + x - 1,[1 -2 -2 2 1 -1],2.443047,0,2,two-pair
29,x^5 - 2x^4 - x^3 - 2x^2 - 2x - 1,[1 -2 -1 -2 -2 -1],2.744337,0,2,two-pair
30,x^5 - 2x^4 - x^3 - 2x^2 - x - 2,[1 -2 -1 -2 -1 -2],2.722918,0,2,two-pair
31,x^5 - 2x^4 - x^3 - 2x^2 - x - 1,[1 -2 -1 -2 -1 -1],2.710082,0,2,two-pair
32,x^5 - 2x^4 - x^3 - 2x^2 - 1,[1 -2 -1 -2 0 -1],2.673449,0,2,two-pair
33,x^5 - 2x^4 - x^3 - x^2 - 2x - 1,[1 -2 -1 -1 -2 -1],2.648222,0,2,two-pair
34,x^5 - 2x^4 - x^3 - x^2 - x - 2,[1 -2 -1 -1 -1 -2],2.623905,0,2,two-pair
35,x^5 - 2x^4 - x^3 - x^2 - x - 1,[1 -2 -1 -1 -1 -1],2.608330,0,2,two-pair
36,x^5 - 2x^4 - x^3 - x^2 - x + 1,[1 -2 -1 -1 -1 1],2.574991,2,1,mixed
37,x^5 - 2x^4 - x^3 - x^2 - 2,[1 -2 -1 -1 0 -2],2.582221,0,2,two-pair
38,x^5 - 2x^4 - x^3 - x^2 - 1,[1 -2 -1 -1 0 -1],2.564969,0,2,two-pair
39,x^5 - 2x^4 - x^3 - x^2 + 1,[1 -2 -1 -1 0 1],2.527646,2,1,mixed
40,x^5 - 2x^4 - x^3 - x^2 + x - 1,[1 -2 -1 -1 1 -1],2.517279,0,2,two-pair
41,x^5 - 2x^4 - x^3 - x^2 + x + 1,[1 -2 -1 -1 1 1],2.474727,2,1,mixed
42,x^5 - 2x^4 - x^3 - 2x - 1,[1 -2 -1 0 -2 -1],2.539830,2,1,mixed
43,x^5 - 2x^4 - x^3 - x - 1,[1 -2 -1 0 -1 -1],2.491869,0,2,two-pair
44,x^5 - 2x^4 - x^3 - 2,[1 -2 -1 0 0 -2],2.460890,0,2,two-pair
45,x^5 - 2x^4 - x^3 - 1,[1 -2 -1 0 0 -1],2.438393,0,2,two-pair
46,x^5 - 2x^4 - x^3 + 1,[1 -2 -1 0 0 1],2.388008,2,1,mixed
47,x^5 - 2x^4 - x^3 + x - 1,[1 -2 -1 0 1 -1],2.377497,0,2,two-pair
48,x^5 - 2x^4 - x^3 + x^2 - x - 1,[1 -2 -1 1 -1 -1],2.353640,0,2,two-pair
49,x^5 - 2x^4 - x^3 + x^2 - 2,[1 -2 -1 1 0 -2],2.315005,0,2,two-pair
50,x^5 - 2x^4 - x^3 + x^2 - 1,[1 -2 -1 1 0 -1],2.282972,0,2,two-pair
51,x^5 - 2x^4 - x^3 + x^2 + x - 1,[1 -2 -1 1 1 -1],2.196599,0,2,two-pair
52,x^5 - 2x^4 - x^3 + 2x^2 - 1,[1 -2 -1 2 0 -1],2.070903,0,2,two-pair
53,x^5 - 2x^4 - 2x^2 - x - 1,[1 -2 0 -2 -1 -1],2.435014,0,2,two-pair
54,x^5 - 2x^4 - 2x^2 - 2,[1 -2 0 -2 0 -2],2.405405,0,2,two-pair
55,x^5 - 2x^4 - 2x^2 - 1,[1 -2 0 -2 0 -1],2.383151,0,2,two-pair
56,x^5 - 2x^4 - x^2 - x - 1,[1 -2 0 -1 -1 -1],2.305224,0,2,two-pair
57,x^5 - 2x^4 - x^2 - 1,[1 -2 0 -1 0 -1],2.239214,0,2,two-pair
58,x^5 - 2x^4 - x^2 + 1,[1 -2 0 -1 0 1],2.167542,2,1,mixed
59,x^5 - 2x^4 - x^2 + x - 1,[1 -2 0 -1 1 -1],2.160912,0,2,two-pair
60,x^5 - 2x^4 - x + 1,[1 -2 0 0 -1 1],2.058925,2,1,mixed
61,x^5 - 2x^4 - 1,[1 -2 0 0 0 -1],2.055967,0,2,two-pair
62,x^5 - 2x^4 + x - 1,[1 -2 0 0 1 -1],1.933185,0,2,two-pair
63,x^5 - 2x^4 + x^2 - 1,[1 -2 0 1 0 -1],1.784599,0,2,two-pair
64,x^5 - 2x^4 + x^3 - 2x^2 - 1,[1 -2 1 -2 0 -1],2.046058,0,2,two-pair
65,x^5 - 2x^4 + x^3 - 2x^2 + x - 1,[1 -2 1 -2 1 -1],1.947892,0,2,two-pair
66,x^5 - 2x^4 + x^3 - x^2 + x - 1,[1 -2 1 -1 1 -1],1.673649,0,2,two-pair
67,x^5 - x^4 - 2x^3 - 2x^2 - 2x - 2,[1 -1 -2 -2 -2 -2],2.392464,0,2,two-pair
68,x^5 - x^4 - 2x^3 - 2x^2 - 2x - 1,[1 -1 -2 -2 -2 -1],2.376267,0,2,two-pair
69,x^5 - x^4 - 2x^3 - 2x^2 - x - 1,[1 -1 -2 -2 -1 -1],2.335295,0,2,two-pair
70,x^5 - x^4 - 2x^3 - x^2 - 2x - 2,[1 -1 -2 -1 -2 -2],2.297052,0,2,two-pair
71,x^5 - x^4 - 2x^3 - x^2 - x - 1,[1 -1 -2 -1 -1 -1],2.229191,0,2,two-pair
72,x^5 - x^4 - 2x^3 - x^2 + x + 1,[1 -1 -2 -1 1 1],2.043606,2,1,mixed
73,x^5 - x^4 - 2x^3 - 1,[1 -1 -2 0 0 -1],2.038829,0,2,two-pair
74,x^5 - x^4 - x^3 - 2x^2 - x - 1,[1 -1 -1 -2 -1 -1],2.094309,0,2,two-pair
75,x^5 - x^4 - x^3 - x^2 - x - 1,[1 -1 -1 -1 -1 -1],1.965948,0,2,two-pair
76,x^5 - x^4 - x^3 - x^2 - 1,[1 -1 -1 -1 0 -1],1.888519,0,2,two-pair
77,x^5 - x^4 - x^3 - x^2 + 1,[1 -1 -1 -1 0 1],1.778480,2,1,mixed
78,x^5 - x^4 - x^3 - x - 1,[1 -1 -1 0 -1 -1],1.812404,0,2,two-pair
79,x^5 - x^4 - x^3 - 1,[1 -1 -1 0 0 -1],1.704903,0,2,two-pair
80,x^5 - x^4 - x^3 + x^2 - 1,[1 -1 -1 1 0 -1],1.443269,0,2,two-pair
81,x^5 - x^4 - x^2 - 1,[1 -1 0 -1 0 -1],1.570147,0,2,two-pair
82,x^5 - x^3 - 2x^2 - 2x - 1,[1 0 -1 -2 -2 -1],1.734691,0,2,two-pair
83,x^5 - x^3 - x^2 - x - 1,[1 0 -1 -1 -1 -1],1.534158,0,2,two-pair
