# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/contact_signatures.py
ledger,object,kind,rat_degree,scan_bound_2d2,contact_signature,phi1_multiplicity
A,x^3-2,ratio,9,162,"{Phi_1^3, Phi_3^3}",3
B,x^3+2,ratio,9,162,"{Phi_1^3, Phi_3^3}",3
C,x^4-2,ratio,16,512,"{Phi_1^4, Phi_2^4, Phi_4^4}",4
D,q2=x^4+x^2-1,ratio,16,512,"{Phi_1^4, Phi_2^4}",4
E,x^4+5x^2+5,ratio,16,512,"{Phi_1^4, Phi_2^4}",4
F,K=x^4+5x^2-5,ratio,16,512,"{Phi_1^4, Phi_2^4}",4
G,beta4,ratio,16,512,{Phi_1^4},4
H,Lehmer,ratio,100,20000,{Phi_1^10},10
P,S6,ratio,36,2592,{Phi_1^6},6
P,S8,ratio,64,8192,{Phi_1^8},8
U,q=x^2+x+2,ratio,4,32,{Phi_1^2},2
U,p=x^4+x^2+2,ratio,16,512,"{Phi_1^4, Phi_2^4}",4
W,plastic=x^3-x-1,ratio,9,162,{Phi_1^3},3
X,x^4-x+1,ratio,16,512,{Phi_1^4},4
I,L x beta4 (gcd=1),mixed,40,3200,empty,0
Q,beta4 x S6 (gcd=1),mixed,24,1152,empty,0
Q,beta4 x S8 (gcd=1),mixed,32,2048,empty,0
Q,S6 x S8 (gcd=1),mixed,48,4608,empty,0
Q,L x S6 (gcd=1),mixed,60,7200,empty,0
Q,L x S8 (gcd=1),mixed,80,12800,empty,0
