# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/descent_laws.py
base_object,base_relational_order_m,k,psi_k_relational_order,predicted_m_over_gcd,matches_k_times_Delta,every_diff_is_k_times_original
x^6-2,6,1,6,6,yes,yes
x^6-2,6,2,3,3,yes,yes
x^6-2,6,3,2,2,yes,yes
x^6-2,6,4,3,3,yes,yes
x^6-2,6,5,6,6,yes,yes
x^6-2,6,6,1,1,yes,yes
x^6-2,6,7,6,6,yes,yes
x^6-2,6,8,3,3,yes,yes
Z/12 (m=2^2*3),12,3,4,4,yes,projects onto Z/4 (p-primary)
Z/12 (m=2^2*3),12,4,3,3,yes,projects onto Z/3 (p-primary)
