# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/ratio_object.py
object,degree_n,rat_degree,rat_degree_equals_n2,raw_resultant_degree,raw_leading_coeff,abs_raw_lead_equals_p0_to_n,p0,squarefree,phi1_multiplicity,phi1_equals_n,two_route_kronecker
x^3-2,3,9,yes,9,8,yes,-2,yes,3,yes,
x^3+2,3,9,yes,9,-8,yes,2,yes,3,yes,
x^4-2,4,16,yes,16,16,yes,-2,yes,4,yes,
q2=x^4+x^2-1,4,16,yes,16,1,yes,-1,yes,4,yes,agree
x^4+5x^2+5,4,16,yes,16,625,yes,5,yes,4,yes,
K=x^4+5x^2-5,4,16,yes,16,625,yes,-5,yes,4,yes,
beta4,4,16,yes,16,1,yes,1,yes,4,yes,agree
S6,6,36,yes,36,1,yes,1,yes,6,yes,agree
S8,8,64,yes,64,1,yes,1,yes,8,yes,agree
Lehmer,10,100,yes,100,1,yes,1,yes,10,yes,agree
plastic=x^3-x-1,3,9,yes,9,1,yes,-1,yes,3,yes,agree
x^2+x+2,2,4,yes,4,4,yes,2,yes,2,yes,
x^4-x+1,4,16,yes,16,1,yes,1,yes,4,yes,agree
x^4+x^2+2,4,16,yes,16,16,yes,2,yes,4,yes,
