# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/rigidity_anchors.py
object,degree,angles,absolute_order_n,relational_order_m,anchor,n_in_m_or_2m,delta_is_cyclic_Zm,odd_n_full,mahler
x^2-2,2,0/1 1/2,2,2,n=m,yes,yes,n even,2
x^3-2,3,0/1 1/3 2/3,3,3,n=m,yes,yes,n odd => m=n,2
x^4-2,4,0/1 1/4 1/2 3/4,4,4,n=m,yes,yes,n even,2
x^5-2,5,0/1 1/5 2/5 3/5 4/5,5,5,n=m,yes,yes,n odd => m=n,2
x^6-2,6,0/1 1/6 1/3 1/2 2/3 5/6,6,6,n=m,yes,yes,n even,2
x^7-2,7,0/1 1/7 2/7 3/7 4/7 5/7 6/7,7,7,n=m,yes,yes,n odd => m=n,2
x^3+2,3,1/6 1/2 5/6,6,3,n=2m,yes,yes,n even,2
x^4+2,4,1/8 3/8 5/8 7/8,8,4,n=2m,yes,yes,n even,2
x^4+5x^2+5 (group drop),4,1/4 3/4,4,2,n=2m,yes,yes,n even,5
K=x^4+5x^2-5,4,0/1 1/4 1/2 3/4,4,4,n=m,yes,yes,n even,5.85410196625
q2=x^4+x^2-1,4,0/1 1/4 1/2 3/4,4,4,n=m,yes,yes,n even,phi
golden x^2-x-1,2,0/1 1/2,2,2,n=m,yes,yes,n even,phi
q3=x^6+x^3-1,6,0/1 1/6 1/3 1/2 2/3 5/6,6,6,n=m,yes,yes,n even,phi
